"Date","precipitation"
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,1
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0.1
2015-01-09,2.3
2015-01-10,0.8
2015-01-11,0
2015-01-12,0.1
2015-01-13,0.4
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,16.7
2015-01-18,NA
2015-01-19,10.1
2015-01-20,9.3
2015-01-21,14.6
2015-01-22,4.2
2015-01-23,9
2015-01-24,29.2
2015-01-25,0.1
2015-01-26,4.4
2015-01-27,3.4
2015-01-28,1.4
2015-01-29,0
2015-01-30,0.1
2015-01-31,1.1
2015-02-01,0.7
2015-02-02,0
2015-02-03,0
2015-02-04,1.3
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0.6
2015-02-09,0.9
2015-02-10,0.1
2015-02-11,0
2015-02-12,0.3
2015-02-13,0
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,9.5
2015-02-25,0.1
2015-02-26,0
2015-02-27,0
2015-02-28,0
2015-03-01,NA
2015-03-02,NA
2015-03-03,NA
2015-03-04,NA
2015-03-05,NA
2015-03-06,NA
2015-03-07,NA
2015-03-08,NA
2015-03-09,NA
2015-03-10,NA
2015-03-11,NA
2015-03-12,NA
2015-03-13,NA
2015-03-14,NA
2015-03-15,NA
2015-03-16,NA
2015-03-17,NA
2015-03-18,NA
2015-03-19,NA
2015-03-20,NA
2015-03-21,NA
2015-03-22,NA
2015-03-23,NA
2015-03-24,NA
2015-03-25,NA
2015-03-26,NA
2015-03-27,NA
2015-03-28,NA
2015-03-29,NA
2015-03-30,NA
2015-03-31,NA
2015-04-01,NA
2015-04-02,NA
2015-04-03,NA
2015-04-04,NA
2015-04-05,NA
2015-04-06,NA
2015-04-07,NA
2015-04-08,NA
2015-04-09,NA
2015-04-10,NA
2015-04-11,1.2
2015-04-12,0
2015-04-13,0
2015-04-14,2.3
2015-04-15,3.4
2015-04-16,24.8
2015-04-17,7.7
2015-04-18,0
2015-04-19,0.1
2015-04-20,0.5
2015-04-21,0.9
2015-04-22,0
2015-04-23,3.5
2015-04-24,3.1
2015-04-25,3
2015-04-26,2.4
2015-04-27,1.1
2015-04-28,0.8
2015-04-29,9
2015-04-30,0.1
